,AHS 1,AHS 2,AHS 3,ARTS 1,ARTS 2,ARTS 3,ENG 1,ENG 2,ENG 3,ENV 1,ENV 2,ENV 3,MATH 1,MATH 2,MATH 3,SCI 1,SCI 2,SCI 3
0,14,0,11,10,0,12,12,17,13,6,6,4,0,0,14,0,15,11
1,54,64,44,51,61,46,44,0,12,12,36,0,35,49,13,27,0,42
2,6,0,0,13,7,12,0,16,3,6,3,12,0,12,7,0,11,15
