,AHS 1,AHS 2,AHS 3,ARTS 1,ARTS 2,ARTS 3,ENG 1,ENG 2,ENG 3,ENV 1,ENV 2,ENV 3,MATH 1,MATH 2,MATH 3,SCI 1,SCI 2,SCI 3
0,0,3,5,5,5,1,6,1,1,2,4,3,0,7,4,1,4,6
1,15,34,14,0,0,58,17,53,15,0,0,61,14,36,32,66,0,16
2,7,6,5,1,0,0,4,0,5,7,1,1,3,7,8,0,4,6
