,AHS 1,AHS 2,AHS 3,ARTS 1,ARTS 2,ARTS 3,ENG 1,ENG 2,ENG 3,ENV 1,ENV 2,ENV 3,MATH 1,MATH 2,MATH 3,SCI 1,SCI 2,SCI 3
0,38,21,32,37,0,24,21,0,26,0,25,22,8,22,19,30,0,42
1,50,40,9,48,13,39,52,56,23,45,41,43,20,58,0,0,0,0
2,35,30,7,8,19,7,0,9,16,24,31,8,22,10,18,28,18,9
